species,tissue_type,cancer_type,cell_name,cellontology_id,marker,Symbol,GeneID
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,FABP4,FABP4,2167
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,PDGFR? ,,
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,UCP1,UCP1,7350
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Wisp1,Ccn4,22402
Mouse,Muscle,Normal,Myoblast,CL_0000056,Myod1,Myod1,17927
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Myf5,Myf5,17877
Mouse,Muscle,Normal,Myocyte,CL_0000187,Ckm,Ckm,12715
Mouse,Muscle,Normal,Myocyte,CL_0000187,Acta1,Acta1,11459
Mouse,Muscle,Normal,Lymphatic endothelial cell,CL_0002138,Ccl21a,Ccl21a,18829
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Pdgfra,Pdgfra,18595
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Cxcl5,Cxcl5,20311
Mouse,Muscle,Normal,Tenocyte,CL_0000388,Fmod,Fmod,14264
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Ccl7,Ccl7,20306
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Pax7,Pax7,18509
Mouse,Muscle,Normal,Endothelial cell,CL_0000115,Cdh5,Cdh5,12562
Mouse,Muscle,Normal,Lymphatic endothelial cell,CL_0002138,Lyve1,Lyve1,114332
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Ly6a,Ly6a,110454
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Asb5,Asb5,76294
Mouse,Muscle,Normal,Tenocyte,CL_0000388,Tnmd,Tnmd,64103
Mouse,Muscle,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Tnc,Tnc,21923
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Dpp4,Dpp4,13482
Human,Adipose tissue,Normal,Stem cell,CL_0000034,FABP4,FABP4,2167
Human,Adipose tissue,Normal,Pan fibroblast,,vimentin,,
Human,Adipose tissue,Normal,Pan fibroblast,,collagen1a2,,
Human,Adipose tissue,Normal,Pan fibroblast,,collagen3a1,,
Mouse,Adipose tissue,Normal,Mesenchymal stem cell,CL_0000134,COL3A1,,
Mouse,Adipose tissue,Normal,Mesenchymal stem cell,CL_0000134,TGFBR2,,
Mouse,White adipose tissue,Normal,Adipose-derived stem cell,,Retn,Retn,57264
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD9,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD11b,,
Mouse,Adipose tissue,Normal,M1 macrophage,CL_0000863,CD11c,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD206,Mrc1,17533
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD301,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,Trem2,Trem2,83433
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD64,Fcgr1,14129
Mouse,Adipose tissue,Normal,Stem cell,CL_0000034,WISP2,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,TM4SF1,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,SELE,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,PLVAP,,
Mouse,Adipose tissue,Normal,Mesothelial adipocyte,,UPK3B,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,VCAM1,,
Mouse,Adipose tissue,Normal,Stem cell,CL_0000034,CXCL14,,
Mouse,Adipose tissue,Normal,Stem cell,CL_0000034,APOD,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,TMEM173,,
Mouse,Adipose tissue,Normal,Stem cell,CL_0000034,MGP,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,TFPI,,
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,CEBPB,,
Mouse,Adipose tissue,Normal,Mesothelial adipocyte,,WT1,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,ICAM1,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,VWF,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,PECAM1,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,ADAMTS9,,
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,APOE,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,ACKR1,,
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,FABP4,,
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,CD36,Scarb1,20778
Mouse,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Ucp1,Ucp1,22227
Mouse,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Pgc1a,,
Mouse,Adipose tissue,Normal,Brown adipocyte,CL_0000449,Cox7a1,Cox7a1,12865
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Agt,Agt,11606
Mouse,Adipose tissue,Normal,Brown adipocyte,CL_0000449,Cidea,Cidea,12683
Mouse,Adipose tissue,Normal,Brown adipocyte,CL_0000449,Zic1,Zic1,22771
Mouse,Adipose tissue,Normal,Mesenchymal progenitor cell,CL_0000134,Cd34,Cd34,12490
Human,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Tnfrsf9,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Kng1,Kng1,16644
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Il1rn,Il1rn,16181
Human,Adipose tissue,Normal,Brown adipocyte,CL_0000449,Ucp1,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Kng2,Kng2,385643
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Esm1,Esm1,71690
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Adipoq,Adipoq,11450
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Lepr,Lepr,16847
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Serpina3g,Serpina3g,20715
Mouse,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Shox2,Shox2,20429
Mouse,Adipose tissue,Normal,Mesenchymal progenitor cell,CL_0000134,Sca1,Atxn1,20238
Mouse,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Tbx1,Tbx1,21380
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Cebob,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Pparg,Pparg,19016
Human,Adipose tissue,Normal,White adipocyte,CL_0000448,Lep,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Lpl,Lpl,16956
Human,Adipose tissue,Normal,White adipocyte,CL_0000448,Hoxc9,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Cebba,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Gdpd2,Gdpd2,71584
Human,Adipose tissue,Normal,White adipocyte,CL_0000448,Hoxc8,,
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Cxcl12,Cxcl12,20315
Mouse,Adipose tissue,Normal,Beige adipocyte,CL_0001070,Cited1,Cited1,12705
Human,Adipose tissue,Normal,Epithelial cell,CL_0000066,EPCAM,EPCAM,4072
Human,Adipose tissue,Normal,Epithelial cell,CL_0000066,KRT8,KRT8,3856
Human,Adipose tissue,Normal,Epithelial cell,CL_0000066,KRT18,KRT18,3875
Human,Adipose tissue,Normal,Epithelial cell,CL_0000066,CLDN3,CLDN3,1365
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,Arg1,Arg1,94242
Mouse,Adipose tissue,Normal,M2 macrophage,CL_0000890,CD301,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,Adgre1,Adgre1,13733
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,Cd14,Cd14,12475
Mouse,Adipose tissue,Normal,Pan leukocyte,,CD45,,
Mouse,Adipose tissue,Normal,M1 macrophage,CL_0000863,CD11c,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,Pecaml,,
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,Cdh5,Cdh5,12562
Mouse,Adipose tissue,Normal,Endothelial cell,CL_0000115,Cd34,Cd34,12490
Mouse,Adipose tissue,Normal,Myeloid cell,CL_0000763,Cd45,Ptprc,19264
Mouse,Adipose tissue,Normal,Smooth muscle cell,CL_0000192,Acta2,Acta2,11475
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD45,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD11b,,
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,Sca-1,Ly6a,110454
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,Cd81,Cd81,12520
Mouse,Adipose tissue,Normal,Adipocyte progenitor cell,,Pdgfr?,,
Mouse,Adipose tissue,Normal,Multipotent progenitor cell,CL_0000837,Sca1,Atxn1,20238
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,Cd24,Cd24a,12484
Mouse,Adipose tissue,Normal,Multipotent progenitor cell,CL_0000837,Thy1,Thy1,21838
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,Cd29,,
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,CD34,,
Mouse,Adipose tissue,Normal,Multipotent progenitor cell,CL_0000837,Cd34,Cd34,12490
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,PDGFR?,,
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,Sca1,Atxn1,20238
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,Cd34,Cd34,12490
Mouse,Adipose tissue,Normal,Mesenchymal cell,CL_0008019,Pdgfra,Pdgfra,18595
Mouse,Adipose tissue,Normal,Multipotent progenitor cell,CL_0000837,Pdgfra,Pdgfra,18595
Human,Adipose tissue,Normal,Innate lymphoid cell 1,CL_0001077,IL-2,IL2,3558
Human,Adipose tissue,Normal,Innate lymphoid cell 1,CL_0001077,IFN-?,,
Human,Adipose tissue,Normal,Innate lymphoid cell 1,CL_0001077,TBET,TBX21,30009
Human,Adipose tissue,Normal,Mesothelial cell,CL_0000077,Krt19,,
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,Aca-1,,
Human,Adipose tissue,Normal,Mesothelial cell,CL_0000077,Msln,,
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,Pdgfra,,
Human,Adipose tissue,Normal,Mesothelial cell,CL_0000077,Upk3b,,
Mouse,Fat pad,Normal,Adipose stem cell,,ASC,,
Mouse,Fat pad,Normal,Preadipocyte,CL_0002334,ASC1a,,
Mouse,Fat pad,Normal,Adipose stem cell,,ASC2,Ncoa6,56406
Mouse,Fat pad,Normal,Preadipocyte,CL_0002334,PreA,,
Human,Adipose tissue,Normal,Mast cell,CL_0000097,TPBS2,,
Human,Adipose tissue,Normal,M1 macrophage,CL_0000863,CD68,CD68,968
Human,Adipose tissue,Normal,B cell,CL_0000236,IGKC,IGKC,3514
Human,Adipose tissue,Normal,Vascular smooth muscle cell(VSMC),CL_0000359,ACTA2,ACTA2,59
Human,Adipose tissue,Normal,Endothelial cell,CL_0000115,PECAM,,
Human,Adipose tissue,Normal,Dendritic cell,CL_0000451,HLA-DRA,HLA-DRA,3122
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,LUM,LUM,4060
Human,Adipose tissue,Normal,Adipocyte,CL_0000136,PLIN,PLIN1,5346
Human,Adipose tissue,Normal,Adipocyte,CL_0000136,RBP4,RBP4,5433
Human,Adipose tissue,Normal,Mast cell,CL_0000097,CPA3,CPA3,51200
Human,Adipose tissue,Normal,Monocyte,CL_0000576,S100A9,S100A9,6280
Human,Adipose tissue,Normal,Adipocyte,CL_0000136,LEP,LEP,3952
Human,Adipose tissue,Normal,M1 macrophage,CL_0000863,TREM2,TREM2,54209
Human,Adipose tissue,Normal,Dendritic cell,CL_0000451,HLA-DRB1,HLA-DRB1,3123
Human,Adipose tissue,Normal,M2 macrophage,CL_0000890,CD163,CD163,9332
Human,Adipose tissue,Normal,Endothelial cell,CL_0000115,VWF,VWF,7450
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,COL1A2,COL1A2,1278
Human,Adipose tissue,Normal,Vascular smooth muscle cell(VSMC),CL_0000359,MYH11,MYH11,4629
Human,Adipose tissue,Normal,Natural killer cell,CL_0000623,NKG7,NKG7,4818
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,MGP,MGP,4256
Human,Adipose tissue,Normal,Natural killer cell,CL_0000623,GNLY,GNLY,10578
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,CFD,CFD,200576
Human,Adipose tissue,Normal,Adipocyte,CL_0000136,ADIPOQ,ADIPOQ,9370
Human,Adipose tissue,Normal,Monocyte,CL_0000576,S100A8,S100A8,6279
Human,Adipose tissue,Normal,B cell,CL_0000236,IGHG3,IGHG3,3502
Human,Adipose tissue,Normal,M2 macrophage,CL_0000890,FOLR2,FOLR2,2350
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,WISP2,CCN5,8839
Human,Adipose tissue,Normal,Vascular smooth muscle cell(VSMC),CL_0000359,TAGLN,TAGLN,6876
Human,Adipose tissue,Normal,Adipocyte progenitor cell,,APOD,APOD,347
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Plin1,Plin1,103968
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Dgat2,Dgat2,67800
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Cidec,Cidec,14311
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Lep,Lep,16846
Mouse,Adipose tissue,Normal,Adipocyte,CL_0000136,Adipoq,Adipoq,11450
Mouse,Fat pad,Normal,Differentiating mesenchymal stem cell,,Adipoq,Adipoq,11450
Mouse,Fat pad,Normal,B cell,CL_0000236,CD2,,
Mouse,Fat pad,Normal,Mesenchymal stem cell,CL_0000134,Pdgfra,Pdgfra,18595
Mouse,Fat pad,Normal,Macrophage,CL_0000235,Csf1r,Csf1r,12978
Mouse,Fat pad,Normal,Vascular endothelial cell,CL_0000115,Cdh5,Cdh5,12562
Mouse,Fat pad,Normal,Vascular smooth muscle cell(VSMC),CL_0000359,Acta2,Acta2,11475
Human,Epithelium,Normal,Alveolar type II (ATII) cell,CL_0002063,LAMP3,LAMP3,27074
Human,Epithelium,Normal,Club cell (Clara cell),CL_0000158,GABRP,GABRP,2568
Human,Epithelium,Normal,Alveolar cell Type 1,CL_0002062,RTKN2,RTKN2,219790
Human,Epithelium,Normal,Ciliated cell,CL_0000064,FOXJ1,FOXJ1,2302
Human,Epithelium,Normal,Goblet cell,CL_0000160,GABRP,GABRP,2568
Human,Epithelium,Normal,Club cell (Clara cell),CL_0000158,SCGB1A,,
Human,Epithelium,Normal,Goblet cell,CL_0000160,MUC5AC,MUC5AC,4586
Human,Airway,Normal,Goblet cell,CL_0000160,MUC5B,MUC5B,727897
Human,Airway,Normal,Goblet cell,CL_0000160,KRT78,KRT78,196374
Human,Airway,Normal,Dendritic cell,CL_0000451,CD1C,CD1C,911
Human,Airway,Normal,Myeloid cell,CL_0000763,CD14,CD14,4695
Human,Airway,Normal,Goblet cell,CL_0000160,EPCAM,EPCAM,4072
Human,Airway,Normal,T cell,CL_0000084,TRBC2,TRBC2,28638
Human,Airway,Normal,Myeloid cell,CL_0000763,FCGR3A,FCGR3A,2215
Human,Airway,Normal,T cell,CL_0000084,TRGC1,TRGC1,6983
Human,Airway,Normal,T cell,CL_0000084,CD3D,CD3D,915
Human,Airway,Normal,Goblet cell,CL_0000160,SCGB1A1,SCGB1A1,7356
Human,Airway,Normal,Platelet,CL_0000233,PF4,PF4,5196
Human,Airway,Normal,B cell,CL_0000236,MS4A1,MS4A1,931
Human,Airway,Normal,T cell,CL_0000084,TRAC,TRAC,9612
Human,Airway,Normal,Plasma cell,CL_0000786,CD19,CD19,930
Human,Airway,Normal,Mast cell,CL_0000097,KIT,KIT,3815
Human,Airway,Normal,T cell,CL_0000084,TRDC,TRDC,28526
Human,Airway,Normal,B cell,CL_0000236,CD19,CD19,930
Human,Airway,Normal,Epithelial cell,CL_0000066,KRT78,KRT78,196374
Human,Airway,Normal,T cell,CL_0000084,TRGC2,TRGC2,6967
Human,Airway,Normal,Dendritic cell,CL_0000451,FCER1A,FCER1A,2205
Human,Airway,Normal,Red blood cell (erythrocyte),CL_0000232,HBA1,HBA1,3039
Human,Airway,Normal,Platelet,CL_0000233,ITGA2B,ITGA2B,3674
Human,Airway,Normal,Club cell (Clara cell),CL_0000158,SCGB1A1,SCGB1A1,7356
Human,Airway,Normal,Club cell (Clara cell),CL_0000158,KRT78,KRT78,196374
Human,Airway,Normal,Epithelial cell,CL_0000066,EPCAM,EPCAM,4072
Human,Airway,Normal,Red blood cell (erythrocyte),CL_0000232,HBB,HBB,85344
Human,Airway,Normal,T cell,CL_0000084,TRBC1,TRBC1,28639
Human,Airway,Normal,Plasma cell,CL_0000786,JCHAIN,JCHAIN,3512
Human,Airway,Normal,Ionocyte,CL_0005006,CFTR,CFTR,1080
Human,Airway,Normal,Club cell (Clara cell),CL_0000158,MUC5B,MUC5B,727897
Human,Airway,Normal,Club cell (Clara cell),CL_0000158,EPCAM,EPCAM,4072
Human,Airway,Normal,Myeloid cell,CL_0000763,CD163,CD163,9332
Human,Airway,Normal,Natural killer cell,CL_0000623,NCAM1,NCAM1,4684
Human,Airway,Normal,Neutrophil,CL_0000775,CD16B,,
Human,Airway,Normal,Epithelial cell,CL_0000066,SCGB1A1,SCGB1A1,7356
Human,Airway,Normal,Red blood cell (erythrocyte),CL_0000232,HBA2,HBA2,3040
Human,Airway,Normal,Epithelial cell,CL_0000066,MUC5B,MUC5B,727897
Mouse,Airway,Normal,Macrophage,CL_0000235,CCR5,,
Mouse,Airway,Normal,Macrophage,CL_0000235,CD14,,
Mouse,Airway,Normal,Macrophage,CL_0000235,MAFB,,
Human,Bronchus,Normal,T cell,CL_0000084,CD4,CD4,920
Human,Bronchus,Normal,T cell,CL_0000084,CD8A,CD8A,925
Human,Bronchus,Normal,T cell,CL_0000084,GATA3,GATA3,2625
Mouse,Anorectal junction,Normal,Anal stratified epithelial cell,,Krt5,Krt5,110308
Mouse,Anorectal junction,Normal,Anal canal suprabasal cell,,Krt10,Krt10,16661
Mouse,Anorectal junction,Normal,Anal stratified epithelial cell,,Krt15,Krt15,16665
Mouse,Anorectal junction,Normal,Transition zone suprabasal cell,,Krt10,Krt10,16661
Mouse,Anorectal junction,Normal,Anal stratified epithelial cell,,Krt14,Krt14,16664
Mouse,Anorectal junction,Normal,Epithelial cell,CL_0000066,IL-33,,
Mouse,Anorectal junction,Normal,Stem cell,CL_0000034,CD34,,
Mouse,Anorectal junction,Normal,Glandular rectal epithelial cell,,Krt8,Krt8,16691
Mouse,Ascending aorta,Normal,Smooth muscle cell,CL_0000192,Lgals3,Lgals3,16854
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd11b,Itgam,16409
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd68,Cd68,12514
Mouse,Aortic root,Normal,Smooth muscle cell,CL_0000192,Cnn1,Cnn1,12797
Mouse,Aortic root,Normal,Smooth muscle cell,CL_0000192,Tagln,Tagln,21345
Mouse,Ascending aorta,Normal,Smooth muscle cell,CL_0000192,Cnn1,Cnn1,12797
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd86,Cd86,12524
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd11b,Itgam,16409
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Lgals3,Lgals3,16854
Mouse,Aortic root,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Aortic root,Normal,Smooth muscle cell,CL_0000192,Lgals3,Lgals3,16854
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd86,Cd86,12524
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd32,,
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Ascending aorta,Normal,Smooth muscle cell,CL_0000192,Tagln,Tagln,21345
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd64,,
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd16,,
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Lgals3,Lgals3,16854
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd68,Cd68,12514
Mouse,Aortic root,Normal,Macrophage,CL_0000235,Cd16,,
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd64,,
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Cd32,,
Mouse,Aorta,Normal,Granulocyte,CL_0000094,Csf3r,Csf3r,12986
Mouse,Aorta,Normal,Adventitial cell,CL_0002503,Spp1,Spp1,20750
Mouse,Aorta,Normal,Memory T cell,CL_0000813,CD45RO,,
Mouse,Aorta,Normal,CD4+ T cell,CL_0000624,Cd3e,Cd3e,12501
Mouse,Aorta,Normal,CD4+ T cell,CL_0000624,Cd8a,Cd8a,12525
Mouse,Aorta,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Aorta,Normal,Granulocyte,CL_0000094,S100a9,S100a9,20202
Mouse,Aorta,Normal,CD4+ T cell,CL_0000624,Cd4,Cd4,12504
Mouse,Aorta,Normal,Dendritic cell,CL_0000451,CD11c,,
Mouse,Aorta,Normal,Memory T cell,CL_0000813,CD127,Il7r,16197
Mouse,Aorta,Normal,Monocyte,CL_0000576,Itgam,Itgam,16409
Mouse,Aorta,Normal,Memory T cell,CL_0000813,Il2r,Il2ra,16184
Mouse,Aorta,Normal,Dendritic cell,CL_0000451,Cd209a,Cd209a,170786
Mouse,Aorta,Normal,Monocyte,CL_0000576,CD11b,,
Mouse,Aorta,Normal,Macrophage,CL_0000235,Lgals3,Lgals3,16854
Mouse,Aorta,Normal,Memory T cell,CL_0000813,Il7r,Il7r,16197
Mouse,Aorta,Normal,Memory T cell,CL_0000813,Ptprc,Ptprc,19264
Mouse,Aorta,Normal,Macrophage,CL_0000235,Cd68,Cd68,12514
Mouse,Aorta,Normal,Memory T cell,CL_0000813,Cd3g,Cd3g,12502
Mouse,Aorta,Normal,Dendritic cell,CL_0000451,Itgax,Itgax,16411
Mouse,Aorta,Normal,Monocyte,CL_0000576,Ccr2,Ccr2,12772
Mouse,Aorta,Normal,Dendritic cell,CL_0000451,Flt3,Flt3,14255
Mouse,Aorta,Normal,CD8+ T cell,CL_0000625,Cd3e,Cd3e,12501
Mouse,Aorta,Normal,Macrophage,CL_0000235,Adgre1,Adgre1,13733
Mouse,Aorta,Normal,Macrophage,CL_0000235,Csf1r,Csf1r,12978
Mouse,Aorta,Normal,CD8+ T cell,CL_0000625,Cd4,Cd4,12504
Mouse,Aorta,Normal,Monocyte,CL_0000576,Ly6c2,Ly6c2,100041546
Mouse,Aorta,Normal,Macrophage,CL_0000235,Trem2,Trem2,83433
Mouse,Aorta,Normal,Adventitial cell,CL_0002503,Acta2,Acta2,11475
Mouse,Aorta,Normal,CD8+ T cell,CL_0000625,Cd8a,Cd8a,12525
Mouse,Aorta,Normal,Adventitial cell,CL_0002503,Mgp,Mgp,17313
Mouse,Aorta,Normal,Smooth muscle cell,CL_0000192,Cnn1,Cnn1,12797
Mouse,Aorta,Normal,Osteoblast,CL_0000062,Col2a1,Col2a1,12824
Mouse,Aorta,Normal,Chondrocyte,CL_0000138,Alpl,Alpl,11647
Mouse,Aorta,Normal,Osteoblast,CL_0000062,Alpl,Alpl,11647
Mouse,Aorta,Normal,Fibroblast,CL_0000057,Lum,Lum,17022
Mouse,Aorta,Normal,Chondrocyte,CL_0000138,Col2a1,Col2a1,12824
Mouse,Aorta,Normal,Endothelial cell,CL_0000115,Pecaml,,
Mouse,Aorta,Normal,Endothelial cell,CL_0000115,Cavl,,
Mouse,Aorta,Normal,Endothelial cell,CL_0000115,Fabp4,Fabp4,11770
Mouse,Aorta,Normal,Endothelial cell,CL_0000115,Cdh5,Cdh5,12562
Mouse,Ascending aorta,Normal,Glial cell,CL_0000125,Mal,Mal,117149
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Ccl2,Ccl2,20296
Mouse,Ascending aorta,Normal,Neural crest cell,CL_0000693,Npy,Npy,109648
Mouse,Ascending aorta,Normal,Progenitor cell,CL_0011026,Clec3b,Clec3b,21922
Mouse,Ascending aorta,Normal,T cell,CL_0000084,Cd3g,Cd3g,12502
Mouse,Ascending aorta,Normal,Myofibroblast,CL_0000186,Wisp1,Ccn4,22402
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,Pf4,Pf4,56744
Mouse,Ascending aorta,Normal,Neural crest cell,CL_0011012,Npy,Npy,109648
Mouse,Ascending aorta,Normal,B cell,CL_0000236,Igkc,Igkc,16071
Mouse,Ascending aorta,Normal,Macrophage,CL_0000235,C1qc,C1qc,12262
Mouse,Ascending aorta,Normal,Monocyte,CL_0000576,Cybb,Cybb,13058
Mouse,Ascending aorta,Normal,Endothelial cell,CL_0000115,Cldn5,Cldn5,12741
Mouse,Ascending aorta,Normal,B cell,CL_0000236,Ms4a,,
Mouse,Ascending aorta,Normal,Monocyte,CL_0000576,Il1b,Il1b,16176
Mouse,Ascending aorta,Normal,B cell,CL_0000236,Cd79a,Cd79a,12518
Mouse,Ascending aorta,Normal,T cell,CL_0000084,Cd8b,Cd8b1,12526
Mouse,Ascending aorta,Normal,Neural crest cell,CL_0011012,Tbx20,Tbx20,57246
Mouse,Ascending aorta,Normal,Myofibroblast,CL_0000186,Col3a1,Col3a1,12825
Mouse,Ascending aorta,Normal,Myofibroblast,CL_0000186,Podn,Podn,242608
Mouse,Ascending aorta,Normal,Neutrophil,CL_0000775,Stfa21,,
Mouse,Ascending aorta,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Ascending aorta,Normal,Neutrophil,CL_0000775,S100a9,S100a9,20202
Mouse,Ascending aorta,Normal,Neutrophil,CL_0000775,S100a8,S100a8,20201
Mouse,Ascending aorta,Normal,Monocyte,CL_0000576,Ccr2,Ccr2,12772
Mouse,Ascending aorta,Normal,Myofibroblast,CL_0000186,Col1a1,Col1a1,12842
Mouse,Ascending aorta,Normal,T cell,CL_0000084,Trbc2,Trbc2,100125263
Mouse,Ascending aorta,Normal,Progenitor cell,CL_0011026,Ly6a,Ly6a,110454
Mouse,Ascending aorta,Normal,Glial cell,CL_0000125,Sox10,Sox10,20665
Mouse,Ascending aorta,Normal,Glial cell,CL_0000125,Prnp,Prnp,19122
Mouse,Ascending aorta,Normal,Endothelial cell,CL_0000115,Cdn5,,
Mouse,Ascending aorta,Normal,Smooth muscle cell,CL_0000192,Myh11,Myh11,17880
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Il2ra,Il2ra,16184
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Tigit,Tigit,100043314
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Foxp3,Foxp3,20371
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Penk,Penk,110182
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Areg,Areg,11839
Mouse,Arm,Leukemia,Regulatory T(Treg) cell,CL_0000815,Klrg1,Klrg1,50928
